software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,json_n8n_url,passos_resumo,tags
"Facebook Lead Ads","WhatsApp (Chatwoot)","Lead","Envio imediato de leads para atendimento humano","Como enviar leads do Facebook Ads para o WhatsApp (Chatwoot) usando N8N","facebook-ads-para-whatsapp-chatwoot-n8n","Aprenda a capturar leads do Facebook e iniciar conversas no WhatsApp via Chatwoot em tempo real.","https://n8n.io/workflows/1500","Conectar Trigger Facebook|Formatar telefone (55+DDD)|Buscar contato no Chatwoot|Criar conversa na Inbox|Enviar mensagem template","marketing,vendas,chatwoot"
"Facebook Lead Ads","Google Sheets","Lead","Backup e controle de leads em planilha","Como salvar leads do Facebook Ads no Google Sheets automaticamente com N8N","facebook-ads-para-google-sheets-n8n","Automatize o registro de cada novo lead do Facebook em uma planilha mestre do Google Sheets.","https://n8n.io/workflows/1501","Trigger Facebook Lead|Limpar dados recebidos|Verificar se email já existe na planilha|Adicionar nova linha (Append)","marketing,dados,sheets"
"Typeform","Google Sheets","Formulário","Centralização de respostas de pesquisa","Como integrar Typeform com Google Sheets usando N8N","typeform-para-google-sheets-n8n","Sincronize respostas do Typeform com o Google Sheets para análise de dados rápida e eficiente.","https://n8n.io/workflows/1502","Webhook Typeform|Filtrar respostas incompletas|Mapear campos (Nome, Email, Respostas)|Inserir no Sheets","formularios,dados"
"Typeform","RD Station","Lead","Nutrição de leads qualificados","Como enviar leads do Typeform para o RD Station com N8N","typeform-para-rd-station-n8n","Conecte formulários avançados do Typeform diretamente ao funil de vendas do RD Station.","https://n8n.io/workflows/1503","Receber dados Typeform|Identificar conversão (Evento)|Format payload para API RD Station|Enviar evento de conversão","marketing,crm,rd-station"
"Google Forms","WhatsApp (Kommo)","Notificação","Alerta de nova resposta urgente","Como receber notificações no WhatsApp via Kommo para respostas do Google Forms","google-forms-para-whatsapp-kommo-n8n","Seja avisado no WhatsApp sempre que um formulário importante for preenchido no Google Forms.","https://n8n.io/workflows/1504","Trigger Google Forms (via Sheets ou Webhook)|Validar resposta|Criar nota no Kommo CRM|Disparar mensagem WhatsApp","notificacao,crm,kommo"
"Shopify","Google Sheets","Venda","Controle financeiro de pedidos","Como registrar pedidos da Shopify em uma planilha do Google Sheets com N8N","shopify-para-google-sheets-n8n","Mantenha seu financeiro em dia exportando cada venda da Shopify para uma linha no Excel/Sheets.","https://n8n.io/workflows/1505","Shopify Trigger (New Order)|Extrair itens do carrinho|Calcular total líquido|Adicionar linha no Sheets","ecommerce,financeiro"
"Shopify","Slack","Venda","Comemoração de vendas no time","Como receber alertas no Slack a cada nova venda na Shopify usando N8N","shopify-para-slack-novas-vendas-n8n","Motive seu time enviando um alerta no canal #vendas do Slack a cada novo pedido na loja.","https://n8n.io/workflows/1506","Shopify Trigger|Formatar mensagem com valor e produtos|Enviar para canal Slack|Adicionar reação","ecommerce,notificacao,cultura"
"RD Station","Slack","Lead Qualificado","Aviso de oportunidade para vendedores","Como enviar leads qualificados do RD Station para o Slack usando N8N","rd-station-para-slack-leads-qualificados-n8n","Avise os vendedores instantaneamente no Slack quando um lead atingir o score de qualificação no RD.","https://n8n.io/workflows/1507","Webhook RD Station (Oportunidade)|Filtrar por Dono do Lead|Montar mensagem com link do CRM|Enviar DM no Slack","vendas,marketing,b2b"
"RD Station","Pipedrive","Lead","Criação de Deal no CRM","Como criar negócios no Pipedrive a partir de leads do RD Station com N8N","rd-station-para-pipedrive-n8n","Garanta que nenhuma oportunidade se perca: crie Deals no Pipedrive assim que o lead converter no RD.","https://n8n.io/workflows/1508","Receber Lead RD|Buscar Pessoa no Pipedrive (por email)|Se não existir, criar Pessoa|Criar Deal no funil de entrada","vendas,crm,pipedrive"
"Webhook Genérico","Notion","Dados","Log de eventos de sistema","Como enviar eventos via Webhook para um banco de dados do Notion usando N8N","webhook-para-notion-n8n","Crie um sistema de logs flexível enviando qualquer JSON via Webhook para uma tabela do Notion.","https://n8n.io/workflows/1509","Webhook Trigger|Validar Token de segurança|Formatar JSON para Notion Properties|Create Database Page","dev,notion,logs"
"Stripe","Gmail","Pagamento","Recuperação de pagamento falho","Como enviar email automático para pagamentos falhos no Stripe com N8N","stripe-para-gmail-pagamento-falho-n8n","Automatize a recuperação de receita enviando emails personalizados quando um cartão é recusado no Stripe.","https://n8n.io/workflows/1510","Stripe Trigger (invoice.payment_failed)|Buscar dados do cliente|Gerar link de atualização de cartão|Enviar Email via Gmail","financeiro,saas,churn"
"WooCommerce","Trello","Pedido","Gestão de logística visual","Como criar cards no Trello para novos pedidos do WooCommerce via N8N","woocommerce-para-trello-gestao-pedidos-n8n","Organize sua expedição criando cards no Trello automaticamente para cada venda no WooCommerce.","https://n8n.io/workflows/1511","WooCommerce Trigger|Determinar prazo de envio|Criar Card na lista 'A Enviar'|Adicionar checklist de itens","ecommerce,logistica,trello"
"Calendly","Zoom","Reunião","Geração de link de videoconferência","Como criar reuniões no Zoom automaticamente a partir do Calendly com N8N","calendly-para-zoom-reunioes-n8n","Integração robusta para gerar links únicos do Zoom quando alguém agenda no Calendly.","https://n8n.io/workflows/1512","Calendly Trigger|Criar Meeting no Zoom via API|Atualizar evento no Google Calendar|Enviar email de confirmação","produtividade,agenda"
"Gmail","OpenAI","Email","Classificação automática de emails","Como classificar emails recebidos no Gmail usando Inteligência Artificial e N8N","gmail-para-openai-classificacao-n8n","Use o GPT para ler seus emails, classificar como 'Fatura', 'Suporte' ou 'Spam' e aplicar etiquetas.","https://n8n.io/workflows/1513","Gmail Trigger (Email Received)|Extrair corpo do texto|Prompt OpenAI (Classificar)|Gmail Action (Add Label)","ia,produtividade,email"
"Mercado Livre","Bling","Venda","Emissão de nota fiscal","Como integrar pedidos do Mercado Livre ao Bling para NF-e usando N8N","mercado-livre-para-bling-nfe-n8n","Conecte as APIs do Mercado Livre e Bling para automatizar a criação de pedidos e notas fiscais.","https://n8n.io/workflows/1514","Cron (a cada 10min)|Listar vendas recentes ML|Verificar existência no Bling|Criar Pedido de Venda","ecommerce,brasil,fiscal"
"Jira","Slack","Tarefa","Notificação de bugs críticos","Como alertar canal do Slack sobre tickets críticos criados no Jira com N8N","jira-para-slack-bugs-criticos-n8n","Mantenha o time de engenharia alerta enviando notificações urgentes para bugs de alta prioridade.","https://n8n.io/workflows/1515","Jira Trigger (Issue Created)|If Priority = High|Buscar responsável|Enviar mensagem formatada no Slack","dev,agile,bugs"
"HubSpot","PostgreSQL","Dados","Backup de contatos SQL","Como sincronizar contatos do HubSpot com banco PostgreSQL via N8N","hubspot-para-postgresql-backup-n8n","Mantenha um data warehouse atualizado sincronizando seus contatos do HubSpot com um banco SQL.","https://n8n.io/workflows/1516","HubSpot Trigger/Cron|Mapear colunas|Executar Query (Upsert) no Postgres|Logar resultado","dados,bi,crm"
"Instagram","ChatGPT","Direct","Auto-resposta inteligente para DMs","Como criar um bot de Instagram Direct com ChatGPT usando N8N","instagram-para-chatgpt-bot-n8n","Responda dúvidas frequentes no Instagram 24/7 usando a inteligência do ChatGPT conectada ao N8N.","https://n8n.io/workflows/1517","Instagram Webhook|Verificar se é mensagem de texto|Enviar para OpenAI|Responder usuário via API Graph","social,ia,chatbot"
"Telegram","Google Drive","Arquivo","Salvar arquivos de mídia automaticamente","Como salvar fotos e vídeos do Telegram no Google Drive com N8N","telegram-para-google-drive-backup-midia-n8n","Crie um bot pessoal que salva qualquer foto ou documento que você envia para ele direto no Drive.","https://n8n.io/workflows/1518","Telegram Trigger|Download File|Upload to Google Drive|Responder 'Salvo com sucesso'","pessoal,arquivos,backup"
"WordPress","Twitter (X)","Conteúdo","Divulgação automática de posts","Como tuitar novos posts do WordPress automaticamente usando N8N","wordpress-para-twitter-auto-post-n8n","Aumente o tráfego do seu blog postando automaticamente no Twitter sempre que um artigo for publicado.","https://n8n.io/workflows/1519","WordPress Trigger (Post Published)|Gerar texto curto + Link|Twitter API (Post Tweet)|Logar execução","marketing,conteudo,seo"
